aX,aY,aZ,gX,gY,gZ
0.740,-0.195,0.613,6.287,-8.972,-30.151
0.736,-0.222,0.625,0.977,-9.460,-26.550
0.730,-0.240,0.643,-3.601,-9.277,-22.400
0.719,-0.233,0.648,-6.775,-8.301,-18.250
0.724,-0.216,0.659,-7.629,-6.592,-13.855
0.719,-0.208,0.669,-7.080,-5.432,-9.338
0.721,-0.197,0.666,-5.676,-3.357,-5.676
0.730,-0.182,0.648,-3.601,-1.160,-2.380
0.734,-0.181,0.627,-1.404,0.610,0.122
0.741,-0.180,0.607,-0.305,1.160,1.343
0.742,-0.180,0.606,0.122,1.404,2.014
0.740,-0.168,0.602,-0.977,1.770,2.869

0.214,-0.010,0.960,1.526,-2.991,-2.747
0.219,-0.012,0.953,1.709,-3.357,-2.686
0.223,-0.019,0.954,1.160,-3.723,-2.563
0.222,-0.024,0.964,0.671,-5.188,-1.587
0.215,-0.023,0.976,-0.732,-5.432,-0.793
0.206,-0.004,1.002,-1.099,-5.676,0.732
0.228,0.002,0.995,-0.977,-4.089,0.916
0.226,-0.000,0.990,-0.916,-4.272,0.427
0.222,0.007,0.982,-1.648,-4.395,-0.732
0.213,0.010,0.977,-0.732,-4.089,-1.587
0.206,0.008,0.975,0.305,-4.272,-1.648
0.202,0.006,0.971,0.427,-4.456,-2.197
0.202,0.005,0.971,0.427,-5.127,-2.563
0.205,0.004,0.969,0.671,-4.517,-2.869
0.207,0.006,0.968,0.610,-4.456,-3.296
0.206,0.007,0.971,0.854,-5.005,-3.357
0.202,0.008,0.976,0.793,-4.883,-3.723
0.195,0.003,0.978,1.587,-4.333,-3.906
0.194,-0.005,0.981,1.831,-4.333,-3.906
0.197,-0.012,0.981,1.892,-3.723,-3.601
0.195,-0.016,0.985,1.099,-4.272,-3.662
0.192,-0.011,0.987,0.488,-3.540,-3.418
0.194,-0.003,0.986,-0.122,-4.150,-3.052
0.203,0.000,0.986,0.122,-3.540,-3.113
0.206,0.007,0.986,0.122,-4.028,-3.174
0.213,0.015,0.990,0.122,-4.944,-3.418
