aX,aY,aZ,gX,gY,gZ
-2.751,0.609,2.679,-55.725,341.125,-148.682
-2.667,0.457,2.457,-65.491,418.640,-169.434
-2.577,0.356,2.131,-77.271,482.117,-181.030
-2.434,0.298,1.895,-87.402,518.127,-191.711
-2.353,0.358,1.911,-89.172,533.203,-201.416
-2.279,0.333,1.851,-82.947,554.993,-216.736
-2.189,0.216,1.567,-74.646,581.543,-235.596
-2.058,0.076,1.228,-62.439,595.581,-249.451
-1.946,-0.074,0.936,-46.387,597.168,-258.484
-1.798,-0.252,0.584,-25.330,593.811,-263.245
-1.588,-0.454,0.180,0.977,585.266,-258.606
-1.391,-0.707,-0.190,26.245,569.214,-248.779
-1.163,-0.977,-0.421,42.664,547.302,-236.938
-0.979,-1.208,-0.606,42.847,526.001,-219.910
-0.824,-1.351,-0.813,31.006,508.545,-196.289
-0.626,-1.556,-1.052,22.400,489.624,-162.292
-0.385,-1.601,-1.292,-2.502,461.548,-131.775
-0.129,-1.572,-1.516,-39.307,423.889,-103.271
0.090,-1.483,-1.682,-70.679,374.329,-71.960
0.292,-1.327,-1.768,-95.215,315.857,-39.795
0.492,-1.145,-1.800,-117.737,254.883,-12.512
0.683,-0.943,-1.777,-139.282,195.496,8.728
0.845,-0.749,-1.672,-154.358,141.663,23.315
0.949,-0.564,-1.555,-162.048,100.037,34.363
0.988,-0.344,-1.423,-164.307,68.420,42.480
0.977,-0.142,-1.304,-156.372,45.349,45.898
0.920,-0.012,-1.176,-138.611,27.649,44.495
0.882,0.055,-1.034,-116.821,12.573,39.124
0.857,0.097,-0.924,-95.032,2.319,33.020
0.856,0.119,-0.858,-74.097,-3.052,27.954
0.885,0.124,-0.812,-54.749,-7.690,23.376
0.927,0.136,-0.755,-36.377,-11.292,19.531
0.995,0.140,-0.697,-18.494,-16.113,17.395
1.026,0.161,-0.640,-4.517,-21.729,16.296
1.038,0.171,-0.563,9.155,-28.137,14.709
1.020,0.171,-0.456,20.325,-35.156,12.146
0.987,0.170,-0.349,28.381,-40.955,9.888
0.954,0.177,-0.252,34.363,-46.021,8.545
0.921,0.190,-0.152,39.246,-48.462,7.324
0.903,0.191,-0.062,42.480,-47.363,5.127
0.892,0.189,-0.005,44.250,-43.335,2.075
0.902,0.179,0.041,46.265,-39.368,0.183
0.921,0.157,0.088,46.326,-36.682,-1.770
0.944,0.137,0.128,43.640,-34.607,-3.174
0.962,0.132,0.165,38.879,-34.180,-3.235
0.953,0.101,0.174,33.081,-35.217,-2.258
0.963,0.133,0.227,31.982,-37.903,12.024
0.962,0.089,0.287,40.161,-40.588,25.146
0.935,0.193,0.372,22.461,-39.429,9.827
0.908,0.157,0.389,19.287,-34.973,10.071
0.904,0.166,0.398,21.423,-29.541,8.484
0.906,0.161,0.387,19.714,-24.963,5.432
0.917,0.153,0.360,22.949,-20.874,4.883
0.932,0.150,0.324,26.428,-17.822,4.089
0.952,0.131,0.293,29.419,-16.846,2.991
0.968,0.104,0.270,31.128,-17.517,2.014
0.971,0.091,0.253,31.433,-19.287,1.282
0.973,0.075,0.269,31.494,-22.400,1.038
0.967,0.059,0.301,29.236,-24.780,1.099
0.952,0.049,0.325,26.001,-24.780,2.014
0.933,0.047,0.346,22.583,-22.827,3.357
0.915,0.045,0.355,17.944,-20.020,3.723
0.906,0.041,0.355,12.878,-16.968,3.845
0.911,0.040,0.349,8.240,-14.893,4.456
0.926,0.052,0.332,4.883,-13.794,5.676
0.945,0.070,0.314,2.197,-13.916,6.653
0.958,0.088,0.301,0.671,-14.893,7.568
0.960,0.102,0.305,0.000,-15.808,8.545
0.949,0.115,0.310,-0.427,-16.296,9.155
0.943,0.124,0.310,-0.122,-15.381,9.216
0.934,0.132,0.309,0.671,-14.099,8.667
0.925,0.133,0.294,1.892,-12.695,7.690
