aX,aY,aZ,gX,gY,gZ
0.622,-0.718,-0.238,10.437,-7.324,1.404
0.617,-0.720,-0.237,11.902,-7.629,0.488
0.610,-0.726,-0.247,11.963,-7.202,-0.061
0.606,-0.733,-0.263,10.254,-6.958,0.061
0.602,-0.754,-0.270,7.812,-7.141,0.244
0.602,-0.762,-0.274,5.981,-6.348,0.671
0.599,-0.777,-0.279,4.456,-5.371,1.160
0.591,-0.782,-0.293,3.479,-3.723,2.075
0.586,-0.777,-0.314,2.136,-3.113,2.625
0.577,-0.772,-0.322,2.991,1.160,3.418
0.574,-0.760,-0.321,0.854,0.183,4.333
0.574,-0.752,-0.315,0.244,1.587,5.188
0.582,-0.746,-0.297,-0.183,-0.854,5.310
0.592,-0.742,-0.281,0.061,-1.221,3.906
0.591,-0.754,-0.274,2.014,-0.244,2.808
0.598,-0.761,-0.278,1.404,-2.625,1.587
0.596,-0.768,-0.280,3.235,-1.038,1.282
0.602,-0.770,-0.280,4.639,-0.977,1.831
0.608,-0.767,-0.280,4.639,0.305,2.441
0.604,-0.763,-0.277,2.991,0.732,2.869
0.605,-0.761,-0.278,3.174,2.258,2.991
0.602,-0.763,-0.278,1.770,0.366,2.869
0.601,-0.761,-0.282,2.380,2.197,2.808
0.601,-0.763,-0.287,3.052,1.160,3.540
0.596,-0.758,-0.286,1.221,-1.831,3.601
0.599,-0.755,-0.287,0.916,-0.610,3.662
0.599,-0.759,-0.287,1.221,0.122,4.150
0.600,-0.762,-0.291,-0.061,-2.319,3.845

0.085,0.245,0.947,3.662,-1.038,2.014
0.086,0.244,0.946,4.150,-1.587,1.892
0.084,0.242,0.944,5.066,-1.953,2.014
0.085,0.240,0.946,6.226,-2.197,2.075
0.077,0.236,0.948,7.446,-1.953,2.136
0.092,0.243,0.948,6.531,-2.563,2.136
0.079,0.238,0.949,5.981,-4.517,2.258
0.084,0.242,0.950,4.089,-4.517,1.892
0.081,0.248,0.951,3.174,-4.944,2.502
0.084,0.247,0.956,2.625,-4.333,2.686
0.084,0.246,0.960,2.869,-3.357,2.563
0.086,0.243,0.961,3.357,-2.686,2.563
0.082,0.242,0.960,4.944,-1.892,2.380
0.082,0.242,0.961,5.615,-1.465,2.014
0.072,0.237,0.967,4.639,-2.502,1.648
0.089,0.246,0.969,4.944,-1.465,1.892
0.083,0.246,0.967,6.042,-1.282,2.319
0.083,0.250,0.970,5.554,-0.732,2.197
0.079,0.257,0.969,5.005,-2.075,2.502
0.078,0.259,0.966,3.540,-2.869,2.075
